commit 37cf025f1c04b2deab2afe7dd08c1f4fa2cb18d6
Merge: 2fbbd54 e87c62f
Author: bors <bors@rust-lang.org>
Date:   Thu Jun 11 05:05:20 2015 +0000

    Auto merge of #26154 - pmarcelll:master, r=Gankro
    
    Various methods in both libcore/char.rs and librustc_unicode/char.rs were previously marked with #[inline], now every method is marked in char's impl blocks.
    Partially fixes #26124.
    EDIT: I'm not familiar with pull reqests (yet), apparently Github added my second commit to thit PR...
    Fixes #26124
rustc: ./hyper.0.5.0
cargo rustc -- -Ztime-passes
    Updating registry `https://github.com/rust-lang/crates.io-index`
   Compiling typeable v0.1.2
   Compiling httparse v0.1.4
   Compiling matches v0.1.2
   Compiling bitflags v0.1.1
   Compiling pkg-config v0.3.4
   Compiling gcc v0.3.8
   Compiling libc v0.1.8
   Compiling traitobject v0.0.1
   Compiling rustc-serialize v0.3.15
   Compiling lazy_static v0.1.11
   Compiling unicase v0.1.0
   Compiling log v0.3.1
   Compiling num_cpus v0.2.6
   Compiling mime v0.0.11
   Compiling time v0.1.26
   Compiling openssl-sys v0.6.2
   Compiling openssl v0.6.2
   Compiling url v0.2.35
   Compiling cookie v0.1.21
   Compiling hyper v0.5.0 (file:///root/benchmarks/hyper.0.5.0)
time: 0.030 	parsing
time: 0.009 	configuration 1
time: 0.000 	recursion limit
time: 0.000 	gated macro checking
time: 0.000 	crate injection
time: 0.003 	macro loading
time: 0.000 	plugin loading
time: 0.000 	plugin registration
time: 0.194 	expansion
time: 0.005 	complete gated feature checking 1
time: 0.031 	configuration 2
time: 0.014 	maybe building test harness
time: 0.011 	prelude injection
time: 0.001 	checking that all macro invocations are gone
time: 0.002 	complete gated feature checking 2
time: 0.013 	assigning node ids and indexing ast
time: 0.002 	external crate/lib resolution
time: 0.002 	language item collection
time: 0.036 	resolution
time: 0.002 	lifetime resolution
time: 0.000 	looking for entry point
time: 0.001 	looking for plugin registrar
time: 0.008 	region resolution
time: 0.002 	loop checking
time: 0.001 	static item recursion checking
time: 0.012 	type collecting
time: 0.003 	variance inference
time: 0.104 	coherence checking
time: 1.018 	type checking
time: 0.074 	const checking
time: 0.011 	privacy checking
time: 0.000 	stability index
time: 0.004 	intrinsic checking
time: 0.002 	effect checking
time: 0.014 	match checking
time: 0.006 	liveness checking
time: 0.097 	borrow checking
time: 0.069 	rvalue checking
time: 0.002 	reachability checking
time: 0.007 	death checking
time: 0.010 	stability checking
time: 0.000 	unused lib feature checking
time: 0.041 	lint checking
time: 0.000 	resolving dependency formats
time: 2.602 	translation
  time: 0.100 	llvm function passes
  time: 0.048 	llvm module passes
  time: 2.005 	codegen passes
  time: 0.002 	codegen passes
time: 2.393 	LLVM passes
time: 0.198 	linking
done
